Freq (Hz),Re,Im
17.545,1.77418E-07,-6.65067E-09
17.58,1.76541E-07,-1.19515E-08
17.615,1.75508E-07,-1.72058E-08
17.65,1.74322E-07,-2.2409E-08
17.685,1.72983E-07,-2.75567E-08
17.72,1.71496E-07,-3.26446E-08
17.755,1.69861E-07,-3.76684E-08
17.79,1.68081E-07,-4.26239E-08
17.825,1.6616E-07,-4.75071E-08
17.86,1.64099E-07,-5.23139E-08
17.895,1.61902E-07,-5.70406E-08
17.93,1.59572E-07,-6.16832E-08
17.965,1.57111E-07,-6.62382E-08
18,1.54522E-07,-7.07018E-08
